Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Karate Club,AF,S,0.2,0.2,4,0.12473643324825213,0.27759974513221264,0.001199499994982034,20.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,4,0.2998790810157195,0.24711868218361724,0.0007111000013537705,18.0,1.0,10.0,0.10399032648125756
LocStab,Karate Club,AE,Ld,0.2,0.2,4,0.10256410256410256,0.26318847098067877,0.0007483999943360686,18.0,1.0,18.0,0.2660443407234539
LocStab,Karate Club,AE,S,0.2,0.2,4,0.07956439604400489,0.20739866194411646,0.0009403000003658235,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,4,0.09127248500999334,0.2625981522085418,0.0009762999834492803,31.0,1.0,19.0,-0.011325782811459028
LocStab,Karate Club,B,Ld,0.25,0.35,4,0.1328306907639428,0.3027117182961339,0.0008981999708339572,15.0,1.0,16.0,0.35445979971061714
LocStab,Karate Club,B,S,0.25,0.35,4,0.10969246141889641,0.26040553962631885,0.0008450999739579856,19.0,1.0,18.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,4,0.09127248500999334,0.2625981522085418,0.0011052999761886895,31.0,1.0,19.0,-0.011325782811459028
LocStab,Karate Club,AF,Ld,0.25,0.35,4,0.3769484083424808,0.42398943048293697,0.00117200001841411,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,4,0.12473643324825213,0.27759974513221264,0.0007270000060088933,20.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,4,0.2998790810157195,0.24711868218361724,0.0011437000357545912,18.0,1.0,10.0,0.10399032648125756
LocStab,Karate Club,AE,Ld,0.25,0.35,4,0.10256410256410256,0.26318847098067877,0.0009602999780327082,18.0,1.0,18.0,0.2660443407234539
LocStab,Karate Club,AE,S,0.25,0.35,4,0.07956439604400489,0.20739866194411646,0.0007150000310502946,17.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,4,0.09127248500999334,0.2625981522085418,0.0008827000274322927,31.0,1.0,19.0,-0.011325782811459028
LocStab,Karate Club,B,Ld,0.4,0.4,4,0.44844801389190364,0.25403384494293585,0.0009636000031605363,14.0,1.0,4.0,0.3031440638198029
LocStab,Karate Club,B,S,0.4,0.4,4,0.44844801389190364,0.25403384494293585,0.000785200041718781,34.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,4,0.44844801389190364,0.25403384494293585,0.0011339000193402171,17.0,1.0,4.0,-0.024310831343607554
LocStab,Karate Club,AF,Ld,0.4,0.4,4,0.4920875785822675,0.2710687580817451,0.0013378000003285706,13.0,1.0,3.0,0.327211232684741
LocStab,Karate Club,AF,S,0.4,0.4,4,0.20936758040146772,0.12809917355371903,0.0008793000015430152,31.0,1.0,3.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,4,0.9428076256499134,0.37845055377522907,0.0007275000098161399,14.0,1.0,3.0,0.013431542461005199
LocStab,Karate Club,AE,Ld,0.4,0.4,4,0.5341007819287577,0.2929948839039748,0.0009482000023126602,14.0,1.0,4.0,0.34161369193154034
LocStab,Karate Club,AE,S,0.4,0.4,4,0.41148325358851673,0.24323944453814583,0.0008062999695539474,29.0,1.0,5.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,4,0.5341007819287577,0.2929948839039748,0.001097199972718954,16.0,1.0,4.0,-0.010642919200695048
Louvain,Karate Club,-,-,,,5,0.4292907180385289,0.4400873296977193,0.006468600011430681,,,,
Leiden,Karate Club,-,-,,,5,0.46459109844332386,0.44490358126721763,0.01261430000886321,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,5,0.1328306907639428,0.2961901013849066,0.0011650999658741057,14.0,1.0,16.0,0.38182148855819326
