Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocPop,Jazz,AE,Ld,0.4,0.4,8,,0.03421803684852579,0.007657399983145297,117.0,1.0,10.0,0.038133329152769874
LocPop,Jazz,AE,S,0.4,0.4,8,,0.03421803684852579,0.016663099988363683,193.0,1.0,10.0,0.0
Louvain,Jazz,-,-,,,9,,0.4422084456553139,0.14445659995544702,,,,
Leiden,Jazz,-,-,,,9,,0.4446152882385519,0.3752311000134796,,,,
LocPop,Jazz,B,Ld,0.2,0.2,9,,0.32118699794269223,0.007648400031030178,105.0,1.0,37.0,0.3235925671313354
LocPop,Jazz,B,S,0.2,0.2,9,,0.31678516003853924,0.016426100046373904,192.0,1.0,41.0,0.0
LocPop,Jazz,AF,Ld,0.2,0.2,9,,0.3237049654694699,0.008276800042949617,106.0,1.0,36.0,0.3355188126553879
LocPop,Jazz,AF,S,0.2,0.2,9,,0.3053285175201009,0.015864499961026013,185.0,1.0,35.0,0.0
LocPop,Jazz,AE,Ld,0.2,0.2,9,,0.31128344455137974,0.008995599928312004,114.0,1.0,39.0,0.2986821004191952
LocPop,Jazz,AE,S,0.2,0.2,9,,0.2949942302812079,0.015903300023637712,197.0,1.0,41.0,0.0
LocPop,Jazz,B,Ld,0.25,0.35,9,,0.4291197095615599,0.005727699957787991,47.0,1.0,14.0,0.6255050105845877
LocPop,Jazz,B,S,0.25,0.35,9,,0.27427278666511323,0.02081060002092272,226.0,1.0,18.0,0.0
LocPop,Jazz,AF,Ld,0.25,0.35,9,,0.43146191214173346,0.005452600074931979,45.0,1.0,14.0,0.6346168149590401
LocPop,Jazz,AF,S,0.25,0.35,9,,0.2752043475323213,0.020635700086131692,223.0,1.0,19.0,0.0
LocPop,Jazz,AE,Ld,0.25,0.35,9,,0.4290125747416661,0.0052065999479964375,48.0,1.0,14.0,0.6243809891162362
LocPop,Jazz,AE,S,0.25,0.35,9,,0.176694379405429,0.018954999977722764,204.0,1.0,22.0,0.0
LocPop,Jazz,B,Ld,0.4,0.4,9,,0.03421803684852579,0.008719800040125847,118.0,1.0,10.0,0.03509432488466428
LocPop,Jazz,B,S,0.4,0.4,9,,0.03421803684852579,0.017356700031086802,191.0,1.0,10.0,0.0
LocPop,Jazz,AF,Ld,0.4,0.4,9,,0.03419848524266063,0.008911499986425042,117.0,1.0,9.0,0.0380071790098519
LocPop,Jazz,AF,S,0.4,0.4,9,,0.03421803684852579,0.017209199955686927,191.0,1.0,10.0,0.0
LocPop,Jazz,AE,Ld,0.4,0.4,9,,0.03421803684852579,0.008626399911008775,118.0,1.0,10.0,0.03509432488466428
