Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Moons,B,S,0.4,0.4,3,0.29403922078174227,0.38809028365425574,0.10993899998720735,379.0,1.0,4.0,0.0
LocStab,Moons,B,P,0.4,0.4,3,0.29403922078174227,0.38809028365425574,0.05918380001094192,253.0,1.0,4.0,0.0046707693088907255
LocStab,Moons,B,KM,0.4,0.4,3,0.3064669498783942,0.3907772806593846,0.02441390010062605,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,B,D,0.4,0.4,3,0.3064669498783942,0.3907772806593846,0.034661300014704466,123.0,1.0,4.0,0.3102430193656576
LocStab,Moons,AF,S,0.4,0.4,3,0.4829168445252842,0.4046526647081714,0.10053739999420941,325.0,1.0,3.0,0.0
LocStab,Moons,AF,P,0.4,0.4,3,0.5362278031849589,0.48825324888487953,0.03986150003038347,168.0,1.0,2.0,-0.003174936495304411
LocStab,Moons,AF,KM,0.4,0.4,3,0.5362278031849589,0.48825324888487953,0.009960199939087033,8.0,1.0,2.0,0.9213371373798076
LocStab,Moons,AF,D,0.4,0.4,3,0.5362278031849589,0.48825324888487953,0.01706779992673546,40.0,1.0,2.0,0.5409912814612331
LocStab,Moons,AE,S,0.4,0.4,3,0.19154475365245802,0.18008265754568534,0.0817721999483183,298.0,1.0,8.0,0.0
LocStab,Moons,AE,P,0.4,0.4,3,0.2704184269660236,0.30657866711364146,0.06033949996344745,234.0,1.0,5.0,0.025140390781976208
LocStab,Moons,AE,KM,0.4,0.4,3,0.3064669498783942,0.3907772806593846,0.022716399980708957,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,AE,D,0.4,0.4,3,0.3064669498783942,0.3907772806593846,0.02984829992055893,123.0,1.0,4.0,0.3102430193656576
KMeans,Moons,-,-,,,4,0.4789688417784687,0.4879604640613249,0.14076290000230074,,,,
DBSCAN,Moons,-,-,,,4,0.9933554078979533,0.017502488854272115,0.0035436999751254916,,,,
LocStab,Moons,B,S,0.2,0.2,4,0.2461671693975214,0.359054496019068,0.08565709996037185,370.0,1.0,11.0,0.0
LocStab,Moons,B,P,0.2,0.2,4,0.2205734910767997,0.45669829936807343,0.07318810001015663,318.0,1.0,11.0,0.00015401714853847446
LocStab,Moons,B,KM,0.2,0.2,4,0.23608261650532836,0.46633722421439433,0.05141880002338439,231.0,1.0,10.0,0.18817784654632974
LocStab,Moons,B,D,0.2,0.2,4,0.23608261650532836,0.46633722421439433,0.057343199965544045,231.0,1.0,10.0,0.23859412265604218
LocStab,Moons,AF,S,0.2,0.2,4,0.28040476598401354,0.38229145109173746,0.0897096999688074,294.0,1.0,9.0,0.0
LocStab,Moons,AF,P,0.2,0.2,4,0.9734656404616282,0.0995266139036314,0.03859100001864135,141.0,1.0,4.0,0.0011040011764876087
LocStab,Moons,AF,KM,0.2,0.2,4,0.9866665195128234,0.38878406465918774,0.03344729996751994,45.0,1.0,2.0,0.4882889681228791
LocStab,Moons,AF,D,0.2,0.2,4,0.9933554078979533,0.017502488854272115,0.010644199908711016,0.0,1.0,3.0,1.0
LocStab,Moons,AE,S,0.2,0.2,4,0.1420619412798677,0.37551351465011135,0.0807871000142768,295.0,1.0,17.0,0.0
LocStab,Moons,AE,P,0.2,0.2,4,0.233258820099135,0.35782376514326786,0.0756718999473378,302.0,1.0,12.0,0.00015161823306443774
LocStab,Moons,AE,KM,0.2,0.2,4,0.23088320414031704,0.3586047366397426,0.049327599932439625,230.0,1.0,12.0,0.18297907058776564
LocStab,Moons,AE,D,0.2,0.2,4,0.23088320414031704,0.3586047366397426,0.03838400007225573,230.0,1.0,12.0,0.23334155754479907
LocStab,Moons,B,S,0.25,0.35,4,0.2993108640043106,0.4692919099212285,0.0782609999878332,337.0,1.0,5.0,0.0
LocStab,Moons,B,P,0.25,0.35,4,0.3351321120410065,0.49466597844514837,0.06621509999968112,331.0,1.0,6.0,-0.0012790628854152156
LocStab,Moons,B,KM,0.25,0.35,4,0.30264266427180664,0.47045469082195446,0.03639710007701069,147.0,1.0,5.0,0.33532736296515675
LocStab,Moons,B,D,0.25,0.35,4,0.30264266427180664,0.47045469082195446,0.036445199977606535,157.0,1.0,5.0,0.3065415089088243
LocStab,Moons,AF,S,0.25,0.35,4,0.33995723041701986,0.27290646161945326,0.0961470000911504,299.0,1.0,6.0,0.0
LocStab,Moons,AF,P,0.25,0.35,4,0.7561137813832376,0.280404738425734,0.030023899977095425,135.0,1.0,3.0,0.007375509199028232
LocStab,Moons,AF,KM,0.25,0.35,4,0.6387921617943852,0.479988806401896,0.012752000009641051,16.0,1.0,2.0,0.7973669765601505
LocStab,Moons,AF,D,0.25,0.35,4,0.9342244691686101,0.4068464470569047,0.00931200000923127,5.0,1.0,2.0,0.940778426974007
LocStab,Moons,AE,S,0.25,0.35,4,0.23135649233502617,0.353363775508548,0.09253050002735108,329.0,1.0,9.0,0.0
LocStab,Moons,AE,P,0.25,0.35,4,0.3200019609648425,0.35137444089157116,0.07151129993144423,309.0,1.0,7.0,-0.001316775934656825
LocStab,Moons,AE,KM,0.25,0.35,4,0.29630133260810443,0.4680116944677213,0.045727399992756546,145.0,1.0,5.0,0.342388782072532
