Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
KMeans,Cancer,-,-,,,10,0.6673014390286682,0.006838417318825174,0.34465565222090827,0.0006367057650650626,0.06911395001225173,0.004301680705185662,,,,,,,,
DBSCAN,Cancer,-,-,,,10,0.0,0.0,,,0.006609689979813993,0.0024774557368270438,,,,,,,,
LocStab,Cancer,B,S,0.2,0.2,10,0.42580957795600305,0.0016774890494768463,0.05767190328289366,0.01574756501458319,0.4351856300141662,0.024350641163110375,579.4,41.52637715958377,1.0,0.0,59.7,1.4866068747318506,0.0,0.0
LocStab,Cancer,B,P,0.2,0.2,10,0.42485826310974845,0.003243047931467519,0.07437307883444513,0.00992834102176316,0.17166638001799583,0.0063424406883212815,460.6,11.99333148045196,1.0,0.0,53.8,1.6613247725836149,0.00022635815296571842,0.0015865737117537642
LocStab,Cancer,B,KM,0.2,0.2,10,0.4283473794347513,0.0021174240418482915,0.08785572682018995,0.007996627764877197,0.08082748000742868,0.0015597769439545236,202.3,2.6095976701399777,1.0,0.0,54.8,1.0770329614269007,0.5610214473250023,0.0030896827433060394
LocStab,Cancer,B,D,0.2,0.2,10,0.42749556871710837,0.0017549967063664497,0.08767237854627499,0.00822192709831609,0.11479300999781117,0.0028467939947909747,295.7,1.9519221295943134,1.0,0.0,52.4,1.0198039027185568,0.0,0.0
LocStab,Cancer,AF,S,0.2,0.2,10,0.24749923840701488,0.14596664042028773,-0.0033566794119370947,0.04219681550461388,0.3894746499834582,0.007785300711052381,522.8,3.059411708155671,1.0,0.0,53.3,1.676305461424021,0.0,0.0
LocStab,Cancer,AF,P,0.2,0.2,10,0.5129790854214541,0.04398736233034492,0.15948986364046758,0.03573732120818753,0.09959416000638158,0.0054675192384401475,261.7,12.450301201175819,1.0,0.0,29.4,2.8705400188814645,0.019883913301529693,0.010461891405104264
LocStab,Cancer,AF,KM,0.2,0.2,10,0.6338057670493212,0.0037890892221048135,0.2806215261248517,0.0001244942911295399,0.01987214998807758,0.0010866610351374915,24.6,0.4898979485566356,1.0,0.0,17.8,0.39999999999999997,0.9099177482011835,0.0019397162880935516
LocStab,Cancer,AF,D,0.2,0.2,10,0.01827937769182502,3.469446951953614e-18,0.20729817951664398,2.482534153247273e-17,0.015749479981604964,0.0003175497316982799,14.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0
