Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocPop,3 Circles,AE,S,0.2,0.2,10,0.2852487791840464,0.0006282064584958631,0.2697524339323144,0.00676729080335824,0.08090537000680342,0.015575835892409441,348.3,21.61504105941046,1.0,0.0,9.0,0.0,0.0,0.0
LocPop,3 Circles,AE,P,0.2,0.2,10,0.28779988212858393,0.00043089991684882776,0.41581698436909076,0.028609855347978826,0.0441816599923186,0.005332773683487066,293.0,16.804761230080004,1.0,0.0,7.1,0.3,-0.001115160151889482,0.0026663738203475205
LocPop,3 Circles,AE,KM,0.2,0.2,10,0.27738561097864955,0.0007202128027560539,0.3330021501094532,0.06624278904552099,0.025757579994387925,0.002796366664906327,160.6,5.919459434779497,1.0,0.0,8.0,1.0,0.41250651095989327,0.010059845448092394
LocPop,3 Circles,AE,D,0.2,0.2,10,0.2843605672063115,0.0031895391049638123,0.2633739988617346,6.507322489815491e-05,0.027924060000805183,0.0025983072188568304,160.3,2.570992026436488,1.0,0.0,9.0,0.0,0.34437198793102813,0.0033074812784994545
LocPop,3 Circles,B,S,0.25,0.35,10,0.41628895054124426,0.003135705479323884,0.2893418225857908,0.0002952399242305662,0.07508066000300459,0.006995780005680066,344.2,23.81512124680452,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,3 Circles,B,P,0.25,0.35,10,0.41555113208646405,0.0015517503625977424,0.2894214494761294,0.00020224165963653545,0.03734627999947406,0.009785668075234438,258.4,43.234708279344275,1.0,0.0,4.0,0.0,-0.00044907531253461956,0.0028984289084862
LocPop,3 Circles,B,KM,0.25,0.35,10,0.42430898484829066,0.0,0.28911022060037705,4.965068306494546e-17,0.009195070003625006,0.003855001380296739,6.3,0.9,1.0,0.0,4.0,0.0,0.9500902468423238,0.014253299105890072
LocPop,3 Circles,B,D,0.25,0.35,10,0.4171069276537409,0.0,0.28881208261549174,0.0,0.029332679999060928,0.007319685737903265,158.0,1.0954451150103321,1.0,0.0,4.0,0.0,0.2794067047809583,0.0003801297749596275
LocPop,3 Circles,AF,S,0.25,0.35,10,0.4154624768848577,0.0008222253844416327,0.2869707680660607,0.0009206572747155279,0.07443720000446774,0.00838285155277726,340.1,23.19676701611671,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,3 Circles,AF,P,0.25,0.35,10,0.41477258580461074,0.001730651444833235,0.286789632301145,0.000559900835208597,0.04113016999326646,0.008041412731125705,259.6,42.71112267313983,1.0,0.0,4.0,0.0,-0.0003584725165995918,0.0028949454343391023
LocPop,3 Circles,AF,KM,0.25,0.35,10,0.417946470337695,0.0018764156118283861,0.28806309947826747,0.000746209739482743,0.010114859993336722,0.0035776540248254633,7.6,1.2,1.0,0.0,4.0,0.0,0.9391920671744943,0.009510609154532602
LocPop,3 Circles,AF,D,0.25,0.35,10,0.4171069276537409,0.0,0.28881208261549174,0.0,0.024648929992690683,0.0019277603477394964,158.0,1.0954451150103321,1.0,0.0,4.0,0.0,0.2794067047809583,0.0003801297749596275
LocPop,3 Circles,AE,S,0.25,0.35,10,0.4255115220339166,5.551115123125783e-17,0.288695236341017,6.329245045284193e-17,0.08005263999220916,0.016886904185185306,344.4,25.227762485008455,1.0,0.0,4.0,0.0,0.0,0.0
LocPop,3 Circles,AE,P,0.25,0.35,10,0.4255115220339166,5.551115123125783e-17,0.288695236341017,6.329245045284193e-17,0.03664831999922171,0.006154125291365601,259.1,43.31847181053367,1.0,0.0,4.0,0.0,-0.00041878583661764617,0.0034572477850083896
LocPop,3 Circles,AE,KM,0.25,0.35,10,0.42430898484829066,0.0,0.28911022060037705,4.965068306494546e-17,0.007218159997137263,0.0009366584716129309,6.3,0.9,1.0,0.0,4.0,0.0,0.9500902468423238,0.014253299105890072
